problem_number,pass_num,total_num,accuracy
099,4,4,1
100,3,10
101,7,8
102,3,8
103,5,8
104,6,6,1
105,1,4
106,3,8
107,2,2,1
108,5,10
109,9,10
110,2,7
111,5,8
112,4,9
113,4,4,1
114,4,4,1
115,5,5,1
116,8,8,1
117,0,2,0
118,3,3,1
119,5,5,1
120,10,10,1
121,6,6,1
122,9,9,1
123,3,3,1
124,5,7
125,7,7,1
126,6,6,1
127,9,9,1
128,3,3,1
129,6,6,1
130,4,4,1
131,1,10
132,7,10
133,7,7,1
134,5,5,1
135,6,8
136,5,7
137,4,4,1
138,7,7,1
139,4,4,1
140,3,3,1
141,4,4,1
142,0,7,0
143,5,6
144,5,7
145,2,3
146,9,9,1
147,7,7,1
148,4,5
149,3,3,1
150,5,5,1
151,4,4,1
152,6,6,1
153,5,5,1
154,9,9,1
155,8,9
156,7,7,1
157,5,6
158,2,5
159,6,8
160,4,4,1
161,9,9,1
162,9,9,1
163,0,6,0
164,6,7
165,9,9,1
166,3,3,1
167,5,7
168,8,8,1
169,2,3
170,5,6
171,3,3,1
172,1,1,1
173,7,8
174,6,6,1
175,5,10
176,8,9
177,6,6,1
178,3,3,1
179,5,5,1
180,4,4,1
181,3,4
182,4,4,1
183,3,3,1
184,2,2,1
185,6,6,1
186,2,2,1
187,9,10
188,7,10
189,6,10
190,9,9,1
191,8,8,1
192,4,6
193,0,7,0
194,5,9
195,6,6,1
196,3,5
197,5,5,1
198,0,8,0
199,7,7,1
200,0,1,0
201,6,8
202,2,2,1
203,4,4,1
204,4,7
205,0,6,0
206,10,10,1
207,3,6
208,5,10
209,4,6
210,5,5,1
211,0,7,0
212,8,10
213,3,3,1
214,3,3,1
215,6,6,1
216,8,9
217,4,4,1
218,5,5,1
219,5,7
220,8,8,1
221,3,3,1
222,10,10,1
223,3,6
224,7,7,1
225,3,6
226,2,6
227,4,8
228,6,8
229,0,9,0
230,6,10
231,0,5,0
232,6,6,1
233,0,9,0
234,2,3
235,2,10
236,6,6,1
237,8,8,1
238,4,4,1
239,0,4,0
240,2,10
241,3,7
242,0,8,0
243,0,10,0
244,5,5,1
245,1,9
246,6,8
247,0,10,0
248,7,7,1
249,1,10
250,1,10
251,0,4,0
252,2,2,1
253,6,10
254,3,5
255,7,7,1
256,4,4,1
257,3,10
258,8,10
259,2,9
260,6,10
261,8,10
262,5,9
263,2,10
264,6,8
265,1,10
266,5,5,1
267,8,9
268,6,6,1
269,2,2,1
270,0,5,0
271,9,10
272,4,4,1
273,2,6
274,6,7
275,6,6,1
276,6,7
277,6,6,1
278,6,7
279,0,10,0
280,9,10
281,4,4,1
282,8,9
283,3,3,1
284,5,6
285,0,9,0
286,1,10
287,9,10
