problem_number,pass_num,total_num,accuracy
099,2,10
100,6,10
101,0,10,0
102,0,10,0
103,2,10
104,1,10
105,7,10
106,2,10
107,0,10,0
108,0,10,0
109,0,10,0
110,0,10,0
111,0,9,0
112,0,7,0
113,0,10,0
114,0,10,0
115,1,10
116,0,10,0
117,0,10,0
118,1,10
119,0,10,0
120,1,9
121,0,10,0
122,0,10,0
123,8,10
124,0,10,0
125,0,10,0
126,0,10,0
127,3,10
128,3,9
129,0,10,0
130,5,10
131,10,10,1
132,1,10
133,0,10,0
134,0,10,0
135,0,9,0
136,1,10
137,0,10,0
138,1,10
139,6,10
140,3,9
141,0,10,0
142,0,6,0
143,0,10,0
144,0,9,0
145,0,10,0
146,0,10,0
147,10,10,1
148,2,10
149,1,9
150,0,10,0
151,1,10
152,0,8,0
153,4,8
154,0,10,0
155,0,10,0
156,1,10
157,0,10,0
158,7,10
159,3,10
160,6,10
161,3,10
162,9,10
163,3,9
164,0,10,0
165,9,10
166,0,9,0
167,0,9,0
168,0,10,0
169,0,10,0
170,0,9,0
171,4,9
172,7,9
173,0,10,0
174,2,10
175,0,10,0
176,2,10
177,0,10,0
178,4,9
179,0,10,0
180,9,10
181,0,10,0
182,0,10,0
183,4,10
184,0,10,0
185,1,10
186,3,9
187,0,10,0
188,5,10
189,0,10,0
190,0,10,0
191,0,10,0
192,0,1,0
193,0,9,0
194,0,10,0
195,0,10,0
196,1,9
197,0,9,0
198,0,9,0
199,0,10,0
200,0,10,0
201,0,10,0
202,0,9,0
203,1,10
204,0,10,0
205,0,10,0
206,0,10,0
207,0,9,0
208,0,10,0
209,4,10
210,0,9,0
211,1,9
212,0,10,0
213,0,10,0
214,0,10,0
215,0,6,0
216,0,9,0
217,0,10,0
218,0,9,0
219,0,10,0
220,1,10
221,0,9,0
222,0,10,0
223,0,9,0
224,0,10,0
225,0,9,0
226,0,10,0
227,0,10,0
228,0,10,0
229,0,10,0
230,0,10,0
231,0,10,0
232,0,10,0
233,1,9
234,0,10,0
235,0,10,0
236,0,10,0
237,0,9,0
238,0,9,0
239,0,10,0
240,0,10,0
241,0,10,0
242,0,10,0
243,0,10,0
244,0,10,0
245,0,7,0
246,0,1,0
247,1,10
248,0,8,0
249,0,10,0
250,0,10,0
251,0,9,0
252,0,9,0
253,0,9,0
254,0,10,0
255,0,10,0
256,8,10
257,0,10,0
258,0,10,0
259,0,10,0
260,0,10,0
261,0,10,0
262,0,10,0
263,0,10,0
264,0,10,0
265,0,10,0
266,0,10,0
267,0,10,0
268,0,10,0
269,0,10,0
270,0,10,0
271,0,10,0
272,0,10,0
273,0,10,0
274,0,10,0
275,0,7,0
276,0,10,0
277,0,9,0
278,0,10,0
279,0,10,0
280,0,10,0
281,0,10,0
282,0,10,0
283,0,10,0
284,0,10,0
285,0,10,0
286,0,10,0
287,0,9,0
