problem_number,pass_num,total_num,accuracy
099,0,1,0
100,2,8
101,0,10,0
102,0,10,0
103,2,10
104,0,10,0
105,5,10
106,0,1,0
107,0,10,0
108,0,10,0
109,0,1,0
110,0,1,0
111,0,7,0
112,0,10,0
113,0,1,0
114,0,1,0
115,0,10,0
116,0,1,0
117,0,1,0
118,0,9,0
119,2,10
120,0,10,0
121,0,1,0
122,0,10,0
123,0,1,0
124,0,1,0
125,3,10
126,0,10,0
127,7,10
128,8,10
129,0,1,0
130,6,10
131,9,10
132,0,10,0
133,7,10
134,0,1,0
135,0,10,0
136,0,1,0
137,1,10
138,1,10
139,3,10
140,0,1,0
141,0,1,0
142,0,10,0
143,0,10,0
144,0,10,0
145,0,10,0
146,0,1,0
147,9,10
148,0,1,0
149,6,10
150,1,5
151,0,10,0
152,0,1,0
153,5,10
154,0,10,0
155,0,1,0
156,2,8
157,0,10,0
158,5,10
159,1,10
160,2,10
161,0,1,0
162,7,10
163,5,10
164,0,1,0
165,10,10,1
166,0,10,0
167,0,10,0
168,0,1,0
169,0,10,0
170,0,10,0
171,1,10
172,0,1,0
173,0,9,0
174,1,10
175,0,1,0
176,0,10,0
177,0,8,0
178,1,9
179,2,10
180,4,9
181,0,9,0
182,0,10,0
183,0,1,0
184,0,1,0
185,1,9
186,5,10
187,0,10,0
188,2,10
189,0,1,0
190,4,10
191,0,1,0
192,0,10,0
193,0,1,0
194,0,10,0
195,1,10
196,0,8,0
197,0,10,0
198,0,1,0
199,0,1,0
200,0,10,0
201,0,1,0
202,0,10,0
203,0,10,0
204,0,10,0
205,0,1,0
206,0,9,0
207,0,1,0
208,0,10,0
209,3,10
210,0,10,0
211,1,9
212,1,9
213,0,10,0
214,0,1,0
215,0,10,0
216,0,1,0
217,0,10,0
218,0,1,0
219,0,10,0
220,1,9
221,0,1,0
222,0,1,0
223,0,10,0
224,0,10,0
225,0,5,0
226,0,1,0
227,0,10,0
228,0,10,0
229,0,10,0
230,0,10,0
231,0,10,0
232,0,10,0
233,2,10
234,0,9,0
235,0,9,0
236,0,10,0
237,0,9,0
238,0,10,0
239,0,9,0
240,0,8,0
241,0,10,0
242,0,10,0
243,0,10,0
244,0,7,0
245,0,10,0
246,0,1,0
247,0,10,0
248,0,8,0
249,0,10,0
250,0,10,0
251,0,9,0
252,0,9,0
253,0,8,0
254,0,9,0
255,0,9,0
256,8,10
257,0,10,0
258,0,10,0
259,0,1,0
260,0,1,0
261,0,10,0
262,0,8,0
263,0,10,0
264,0,10,0
265,0,1,0
266,0,1,0
267,0,10,0
268,0,10,0
269,0,10,0
270,0,10,0
271,5,10
272,0,10,0
273,0,1,0
274,0,2,0
275,0,5,0
276,0,10,0
277,0,10,0
278,0,10,0
279,0,10,0
280,0,8,0
281,0,10,0
282,0,10,0
283,0,9,0
284,0,1,0
285,0,10,0
286,1,10
287,0,9,0
