times,difficulty,pass_num,total_num,accuracy
1,A,162,189,0.8571428571428571
2,A,167,189,0.8835978835978836
3,A,164,189,0.8677248677248677
4,A,162,189,0.8571428571428571
5,A,162,189,0.8571428571428571
1,B,158,189,0.8359788359788359
2,B,154,189,0.8148148148148148
3,B,144,189,0.7619047619047619
4,B,140,189,0.7407407407407407
5,B,149,189,0.7883597883597884
1,C,103,189,0.544973544973545
2,C,102,189,0.5396825396825397
3,C,97,189,0.5132275132275133
4,C,103,189,0.544973544973545
5,C,116,189,0.6137566137566137
1,D,45,189,0.238095238095238
2,D,50,189,0.2645502645502645
3,D,43,189,0.2275132275132275
4,D,50,189,0.2645502645502645
5,D,68,189,0.3597883597883597
