difficulty,pass_num,total_num,accuracy
A,146,189,0.7724867724867724
A,148,189,0.783068783068783
A,149,189,0.7883597883597884
A,142,189,0.7513227513227513
A,142,189,0.7513227513227513
B,119,189,0.6296296296296297
B,112,189,0.5925925925925926
B,114,189,0.6031746031746031
B,113,189,0.5978835978835979
B,113,189,0.5978835978835979
C,64,189,0.3386243386243386
C,58,189,0.3068783068783068
C,57,189,0.3015873015873015
C,64,189,0.3386243386243386
C,75,189,0.3968253968253968
D,23,189,0.1216931216931216
D,22,189,0.1164021164021164
D,20,189,0.1058201058201058
D,21,189,0.1111111111111111
D,34,189,0.1798941798941798
