difficulty,pass_num,total_num,accuracy
A,151,189,0.798941798941799
A,149,189,0.7883597883597884
A,150,189,0.7936507936507936
A,152,189,0.8042328042328042
A,133,189,0.7037037037037037
B,115,189,0.6084656084656085
B,109,189,0.5767195767195767
B,111,189,0.5873015873015873
B,113,189,0.5978835978835979
B,110,189,0.582010582010582
C,68,189,0.3597883597883597
C,60,189,0.3174603174603174
C,53,189,0.2804232804232804
C,59,189,0.3121693121693121
C,61,189,0.3227513227513227
D,21,189,0.1111111111111111
D,15,189,0.0793650793650793
D,13,189,0.0687830687830687
D,13,189,0.0687830687830687
D,20,189,0.1058201058201058
