difficulty,pass_num,total_num,accuracy
A,112,189,0.5925925925925926
A,101,189,0.5343915343915344
A,100,189,0.5291005291005291
A,110,189,0.582010582010582
A,103,189,0.544973544973545
B,77,189,0.4074074074074074
B,75,189,0.3968253968253968
B,83,189,0.4391534391534391
B,81,189,0.4285714285714285
B,81,189,0.4285714285714285
C,40,189,0.2116402116402116
C,35,189,0.1851851851851851
C,35,189,0.1851851851851851
C,37,189,0.1957671957671957
C,38,189,0.201058201058201
D,15,189,0.0793650793650793
D,12,189,0.0634920634920634
D,9,189,0.0476190476190476
D,15,189,0.0793650793650793
D,14,189,0.074074074074074
