language,problem_number,difficulty,suggestion,test_case,result,output,expected_output,message,accuracy
en,099,A,0,01,1,"ABC
","ABC
",
en,099,A,0,02,1,"ABD
","ABD
",
en,099,A,0,03,1,"ABC
","ABC
",
en,099,A,0,04,1,"ABC
","ABC
",
en,099,A,0,05,1,"ABD
","ABD
",
en,099,A,0,06,1,"ABD
","ABD
",
en,099,A,0,sample_01,1,"ABC
","ABC
",
en,099,A,0,sample_02,1,"ABD
","ABD
",
en,099,A,0,sample_03,1,"ABD
","ABD
",,1.0
en,099,A,1,01,1,"ABC
","ABC
",
en,099,A,1,02,1,"ABD
","ABD
",
en,099,A,1,03,1,"ABC
","ABC
",
en,099,A,1,04,1,"ABC
","ABC
",
en,099,A,1,05,1,"ABD
","ABD
",
en,099,A,1,06,1,"ABD
","ABD
",
en,099,A,1,sample_01,1,"ABC
","ABC
",
en,099,A,1,sample_02,1,"ABD
","ABD
",
en,099,A,1,sample_03,1,"ABD
","ABD
",,1.0
en,099,A,2,01,1,"ABC
","ABC
",
en,099,A,2,02,1,"ABD
","ABD
",
en,099,A,2,03,1,"ABC
","ABC
",
en,099,A,2,04,1,"ABC
","ABC
",
en,099,A,2,05,1,"ABD
","ABD
",
en,099,A,2,06,1,"ABD
","ABD
",
en,099,A,2,sample_01,1,"ABC
","ABC
",
en,099,A,2,sample_02,1,"ABD
","ABD
",
en,099,A,2,sample_03,1,"ABD
","ABD
",,1.0
en,099,A,3,01,1,"ABC
","ABC
",
en,099,A,3,02,1,"ABD
","ABD
",
en,099,A,3,03,1,"ABC
","ABC
",
en,099,A,3,04,1,"ABC
","ABC
",
en,099,A,3,05,1,"ABD
","ABD
",
en,099,A,3,06,1,"ABD
","ABD
",
en,099,A,3,sample_01,1,"ABC
","ABC
",
en,099,A,3,sample_02,1,"ABD
","ABD
",
en,099,A,3,sample_03,1,"ABD
","ABD
",,1.0
en,099,A,4,01,1,"ABC
","ABC
",
en,099,A,4,02,1,"ABD
","ABD
",
en,099,A,4,03,1,"ABC
","ABC
",
en,099,A,4,04,1,"ABC
","ABC
",
en,099,A,4,05,1,"ABD
","ABD
",
en,099,A,4,06,1,"ABD
","ABD
",
en,099,A,4,sample_01,1,"ABC
","ABC
",
en,099,A,4,sample_02,1,"ABD
","ABD
",
en,099,A,4,sample_03,1,"ABD
","ABD
",,1.0
en,099,A,5,01,1,"ABC
","ABC
",
en,099,A,5,02,1,"ABD
","ABD
",
en,099,A,5,03,1,"ABC
","ABC
",
en,099,A,5,04,1,"ABC
","ABC
",
en,099,A,5,05,1,"ABD
","ABD
",
en,099,A,5,06,1,"ABD
","ABD
",
en,099,A,5,sample_01,1,"ABC
","ABC
",
en,099,A,5,sample_02,1,"ABD
","ABD
",
en,099,A,5,sample_03,1,"ABD
","ABD
",,1.0
en,099,A,6,01,0,,"ABC
",
en,099,A,6,02,0,,"ABD
",
en,099,A,6,03,0,,"ABC
",
en,099,A,6,04,0,,"ABC
",
en,099,A,6,05,0,,"ABD
",
en,099,A,6,06,0,,"ABD
",
en,099,A,6,sample_01,0,,"ABC
",
en,099,A,6,sample_02,0,,"ABD
",
en,099,A,6,sample_03,0,,"ABD
",,0.0
