problem_number,pass_num,total_num,accuracy
099,1,1,1
100,1,1,1
101,1,1,1
102,1,1,1
103,1,1,1
104,1,1,1
105,1,1,1
106,1,1,1
107,1,1,1
108,0,1,0
109,1,1,1
110,0,1,0
111,1,1,1
112,1,1,1
113,1,1,1
114,1,1,1
115,1,1,1
116,1,1,1
117,0,1,0
118,1,1,1
119,1,1,1
120,1,1,1
121,1,1,1
122,1,1,1
123,1,1,1
124,1,1,1
125,1,1,1
126,1,1,1
127,1,1,1
128,1,1,1
129,1,1,1
130,1,1,1
131,1,1,1
132,1,1,1
133,1,1,1
134,1,1,1
135,1,1,1
136,1,1,1
137,1,1,1
138,1,1,1
139,1,1,1
140,1,1,1
141,1,1,1
142,0,1,0
143,1,1,1
144,1,1,1
145,1,1,1
146,1,1,1
147,1,1,1
148,1,1,1
149,1,1,1
150,1,1,1
151,1,1,1
152,1,1,1
153,1,1,1
154,1,1,1
155,1,1,1
156,1,1,1
157,1,1,1
158,0,1,0
159,1,1,1
160,1,1,1
161,1,1,1
162,1,1,1
163,0,1,0
164,1,1,1
165,1,1,1
166,1,1,1
167,1,1,1
168,1,1,1
169,1,1,1
170,1,1,1
171,0,1,0
172,1,1,1
173,1,1,1
174,1,1,1
175,1,1,1
176,1,1,1
177,1,1,1
178,1,1,1
179,1,1,1
180,1,1,1
181,1,1,1
182,1,1,1
183,1,1,1
184,1,1,1
185,0,1,0
186,1,1,1
187,1,1,1
188,1,1,1
189,0,1,0
190,1,1,1
191,1,1,1
192,0,1,0
193,0,1,0
194,1,1,1
195,1,1,1
196,0,1,0
197,1,1,1
198,0,1,0
199,1,1,1
200,1,1,1
201,1,1,1
202,1,1,1
203,1,1,1
204,0,1,0
205,0,1,0
206,1,1,1
207,1,1,1
208,1,1,1
209,0,1,0
210,1,1,1
211,0,1,0
212,1,1,1
213,1,1,1
214,1,1,1
215,1,1,1
216,1,1,1
217,1,1,1
218,1,1,1
219,1,1,1
220,1,1,1
221,1,1,1
222,1,1,1
223,1,1,1
224,0,1,0
225,1,1,1
226,0,1,0
227,0,1,0
228,0,1,0
229,0,1,0
230,1,1,1
231,0,1,0
232,1,1,1
233,0,1,0
234,1,1,1
235,0,1,0
236,1,1,1
237,1,1,1
238,1,1,1
239,0,1,0
240,0,1,0
241,1,1,1
242,0,1,0
243,0,1,0
244,1,1,1
245,0,1,0
246,1,1,1
247,0,1,0
248,1,1,1
249,0,1,0
250,0,1,0
251,0,1,0
252,1,1,1
253,0,1,0
254,1,1,1
255,1,1,1
256,1,1,1
257,1,1,1
258,1,1,1
259,0,1,0
260,1,1,1
261,1,1,1
262,1,1,1
263,1,1,1
264,1,1,1
265,0,1,0
266,1,1,1
267,1,1,1
268,1,1,1
269,1,1,1
270,0,1,0
271,1,1,1
272,1,1,1
273,1,1,1
274,1,1,1
275,1,1,1
276,1,1,1
277,1,1,1
278,1,1,1
279,0,1,0
280,1,1,1
281,1,1,1
282,1,1,1
283,1,1,1
284,1,1,1
285,0,1,0
286,0,1,0
287,1,1,1
