problem_number,pass_num,total_num,accuracy
099,1,1,1
100,1,1,1
101,1,1,1
102,1,1,1
103,1,1,1
104,0,1,0
105,1,1,1
106,0,1,0
107,1,1,1
108,1,1,1
109,1,1,1
110,1,1,1
111,1,1,1
112,0,1,0
113,0,1,0
114,1,1,1
115,1,1,1
116,0,1,0
117,1,1,1
118,0,1,0
119,0,1,0
120,1,1,1
121,1,1,1
122,0,1,0
123,0,1,0
124,1,1,1
125,1,1,1
126,0,1,0
127,1,1,1
128,1,1,1
129,0,1,0
130,1,1,1
131,1,1,1
132,1,1,1
133,0,1,0
134,1,1,1
135,1,1,1
136,1,1,1
137,0,1,0
138,0,1,0
139,0,1,0
140,1,1,1
141,0,1,0
142,1,1,1
143,1,1,1
144,1,1,1
145,1,1,1
146,0,1,0
147,0,1,0
148,1,1,1
149,1,1,1
150,1,1,1
151,1,1,1
152,1,1,1
153,1,1,1
154,0,1,0
155,1,1,1
156,1,1,1
157,1,1,1
158,0,1,0
159,1,1,1
160,1,1,1
161,1,1,1
162,0,1,0
163,1,1,1
164,1,1,1
165,1,1,1
166,1,1,1
167,1,1,1
168,1,1,1
169,0,1,0
170,1,1,1
171,1,1,1
172,1,1,1
173,1,1,1
174,1,1,1
175,1,1,1
176,1,1,1
177,0,1,0
178,1,1,1
179,1,1,1
180,0,1,0
181,1,1,1
182,0,1,0
183,0,1,0
184,1,1,1
185,1,1,1
186,1,1,1
187,1,1,1
188,1,1,1
189,1,1,1
190,1,1,1
191,0,1,0
192,0,1,0
193,1,1,1
194,0,1,0
195,0,1,0
196,0,1,0
197,1,1,1
198,0,1,0
199,1,1,1
200,1,1,1
201,0,1,0
202,1,1,1
203,1,1,1
204,1,1,1
205,0,1,0
206,1,1,1
207,0,1,0
208,1,1,1
209,1,1,1
210,1,1,1
211,0,1,0
212,0,1,0
213,0,1,0
214,1,1,1
215,1,1,1
216,1,1,1
217,1,1,1
218,1,1,1
219,1,1,1
220,1,1,1
221,0,1,0
222,1,1,1
223,1,1,1
224,1,1,1
225,0,1,0
226,1,1,1
227,1,1,1
228,0,1,0
229,0,1,0
230,0,1,0
231,1,1,1
232,0,1,0
233,1,1,1
234,0,1,0
235,0,1,0
236,0,1,0
237,1,1,1
238,0,1,0
239,1,1,1
240,1,1,1
241,0,1,0
242,1,1,1
243,0,1,0
244,1,1,1
245,1,1,1
246,0,1,0
247,0,1,0
248,0,1,0
249,1,1,1
250,1,1,1
251,0,1,0
252,0,1,0
253,0,1,0
254,1,1,1
255,0,1,0
256,0,1,0
257,0,1,0
258,0,1,0
259,0,1,0
260,0,1,0
261,1,1,1
262,1,1,1
263,0,1,0
264,0,1,0
265,0,1,0
266,0,1,0
267,0,1,0
268,1,1,1
269,0,1,0
270,0,1,0
271,0,1,0
272,0,1,0
273,0,1,0
274,1,1,1
275,1,1,1
276,0,1,0
277,0,1,0
278,0,1,0
279,1,1,1
280,1,1,1
281,0,1,0
282,1,1,1
283,1,1,1
284,1,1,1
285,0,1,0
286,1,1,1
287,0,1,0
