problem_number,pass_num,total_num,accuracy
099,0,1,0
100,0,1,0
101,0,1,0
102,0,1,0
103,0,1,0
104,0,1,0
105,1,1,1
106,0,1,0
107,0,1,0
108,0,1,0
109,0,1,0
110,0,1,0
111,0,1,0
112,0,1,0
113,0,1,0
114,0,1,0
115,0,1,0
116,0,1,0
117,1,1,1
118,0,1,0
119,0,1,0
120,0,1,0
121,1,1,1
122,1,1,1
123,1,1,1
124,0,1,0
125,0,1,0
126,0,1,0
127,1,1,1
128,1,1,1
129,0,1,0
130,1,1,1
131,1,1,1
132,1,1,1
133,1,1,1
134,0,1,0
135,0,1,0
136,0,1,0
137,0,1,0
138,0,1,0
139,0,1,0
140,1,1,1
141,0,1,0
142,0,1,0
143,0,1,0
144,0,1,0
145,0,1,0
146,0,1,0
147,1,1,1
148,0,1,0
149,1,1,1
150,0,1,0
151,1,1,1
152,0,1,0
153,1,1,1
154,0,1,0
155,0,1,0
156,1,1,1
157,0,1,0
158,1,1,1
159,1,1,1
160,1,1,1
161,0,1,0
162,1,1,1
163,1,1,1
164,0,1,0
165,1,1,1
166,0,1,0
167,0,1,0
168,0,1,0
169,0,1,0
170,0,1,0
171,0,1,0
172,0,1,0
173,0,1,0
174,1,1,1
175,0,1,0
176,0,1,0
177,0,1,0
178,1,1,1
179,1,1,1
180,1,1,1
181,0,1,0
182,0,1,0
183,1,1,1
184,0,1,0
185,0,1,0
186,1,1,1
187,0,1,0
188,1,1,1
189,1,1,1
190,0,1,0
191,0,1,0
192,0,1,0
193,0,1,0
194,0,1,0
195,0,1,0
196,0,1,0
197,0,1,0
198,0,1,0
199,0,1,0
200,0,1,0
201,0,1,0
202,0,1,0
203,0,1,0
204,0,1,0
205,1,1,1
206,0,1,0
207,0,1,0
208,0,1,0
209,1,1,1
210,0,1,0
211,0,1,0
212,0,1,0
213,0,1,0
214,0,1,0
215,0,1,0
216,0,1,0
217,0,1,0
218,0,1,0
219,0,1,0
220,0,1,0
221,0,1,0
222,0,1,0
223,0,1,0
224,0,1,0
225,0,1,0
226,0,1,0
227,0,1,0
228,0,1,0
229,0,1,0
230,0,1,0
231,0,1,0
232,0,1,0
233,1,1,1
234,0,1,0
235,0,1,0
236,0,1,0
237,0,1,0
238,0,1,0
239,0,1,0
240,0,1,0
241,0,1,0
242,0,1,0
243,0,1,0
244,0,1,0
245,0,1,0
246,0,1,0
247,0,1,0
248,0,1,0
249,0,1,0
250,0,1,0
251,0,1,0
252,0,1,0
253,0,1,0
254,0,1,0
255,0,1,0
256,0,1,0
257,0,1,0
258,0,1,0
259,0,1,0
260,0,1,0
261,0,1,0
262,0,1,0
263,0,1,0
264,0,1,0
265,0,1,0
266,0,1,0
267,0,1,0
268,0,1,0
269,0,1,0
270,0,1,0
271,0,1,0
272,0,1,0
273,0,1,0
274,0,1,0
275,0,1,0
276,0,1,0
277,0,1,0
278,0,1,0
279,0,1,0
280,0,1,0
281,0,1,0
282,0,1,0
283,0,1,0
284,0,1,0
285,0,1,0
286,0,1,0
287,0,1,0
