problem_number,pass_num,total_num,accuracy
099,0,1,0
100,1,1,1
101,1,1,1
102,0,1,0
103,1,1,1
104,1,1,1
105,1,1,1
106,0,1,0
107,0,1,0
108,1,1,1
109,1,1,1
110,0,1,0
111,1,1,1
112,1,1,1
113,0,1,0
114,0,1,0
115,1,1,1
116,1,1,1
117,0,1,0
118,1,1,1
119,0,1,0
120,1,1,1
121,1,1,1
122,1,1,1
123,1,1,1
124,1,1,1
125,1,1,1
126,1,1,1
127,1,1,1
128,0,1,0
129,1,1,1
130,1,1,1
131,0,1,0
132,1,1,1
133,1,1,1
134,1,1,1
135,1,1,1
136,1,1,1
137,0,1,0
138,1,1,1
139,1,1,1
140,1,1,1
141,0,1,0
142,0,1,0
143,0,1,0
144,1,1,1
145,1,1,1
146,1,1,1
147,0,1,0
148,1,1,1
149,1,1,1
150,1,1,1
151,1,1,1
152,1,1,1
153,1,1,1
154,0,1,0
155,0,1,0
156,0,1,0
157,1,1,1
158,1,1,1
159,1,1,1
160,1,1,1
161,0,1,0
162,0,1,0
163,0,1,0
164,0,1,0
165,1,1,1
166,1,1,1
167,1,1,1
168,0,1,0
169,1,1,1
170,1,1,1
171,1,1,1
172,1,1,1
173,0,1,0
174,0,1,0
175,0,1,0
176,1,1,1
177,1,1,1
178,0,1,0
179,0,1,0
180,1,1,1
181,0,1,0
182,1,1,1
183,0,1,0
184,0,1,0
185,0,1,0
186,1,1,1
187,0,1,0
188,0,1,0
189,1,1,1
190,0,1,0
191,1,1,1
192,1,1,1
193,0,1,0
194,1,1,1
195,0,1,0
196,1,1,1
197,1,1,1
198,1,1,1
199,1,1,1
200,1,1,1
201,1,1,1
202,1,1,1
203,1,1,1
204,1,1,1
205,0,1,0
206,0,1,0
207,1,1,1
208,0,1,0
209,0,1,0
210,1,1,1
211,0,1,0
212,0,1,0
213,1,1,1
214,0,1,0
215,1,1,1
216,0,1,0
217,1,1,1
218,0,1,0
219,0,1,0
220,1,1,1
221,1,1,1
222,1,1,1
223,0,1,0
224,1,1,1
225,0,1,0
226,0,1,0
227,0,1,0
228,0,1,0
229,0,1,0
230,0,1,0
231,0,1,0
232,1,1,1
233,0,1,0
234,0,1,0
235,0,1,0
236,0,1,0
237,1,1,1
238,1,1,1
239,0,1,0
240,1,1,1
241,0,1,0
242,0,1,0
243,0,1,0
244,1,1,1
245,0,1,0
246,0,1,0
247,0,1,0
248,1,1,1
249,0,1,0
250,0,1,0
251,0,1,0
252,1,1,1
253,0,1,0
254,0,1,0
255,1,1,1
256,1,1,1
257,0,1,0
258,1,1,1
259,0,1,0
260,0,1,0
261,0,1,0
262,0,1,0
263,0,1,0
264,1,1,1
265,0,1,0
266,1,1,1
267,0,1,0
268,1,1,1
269,1,1,1
270,0,1,0
271,1,1,1
272,0,1,0
273,1,1,1
274,1,1,1
275,1,1,1
276,0,1,0
277,1,1,1
278,1,1,1
279,0,1,0
280,1,1,1
281,1,1,1
282,1,1,1
283,1,1,1
284,1,1,1
285,0,1,0
286,0,1,0
287,1,1,1
