problem_number,pass_num,total_num,accuracy
099,0,1,0
100,0,1,0
101,0,1,0
102,0,1,0
103,1,1,1
104,1,1,1
105,1,1,1
106,0,1,0
107,0,1,0
108,1,1,1
109,0,1,0
110,1,1,1
111,0,1,0
112,0,1,0
113,1,1,1
114,1,1,1
115,1,1,1
116,0,1,0
117,0,1,0
118,1,1,1
119,0,1,0
120,1,1,1
121,1,1,1
122,0,1,0
123,0,1,0
124,0,1,0
125,1,1,1
126,1,1,1
127,1,1,1
128,0,1,0
129,0,1,0
130,1,1,1
131,0,1,0
132,1,1,1
133,0,1,0
134,1,1,1
135,1,1,1
136,0,1,0
137,0,1,0
138,0,1,0
139,0,1,0
140,1,1,1
141,0,1,0
142,1,1,1
143,0,1,0
144,1,1,1
145,1,1,1
146,0,1,0
147,0,1,0
148,1,1,1
149,0,1,0
150,0,1,0
151,1,1,1
152,1,1,1
153,1,1,1
154,0,1,0
155,0,1,0
156,1,1,1
157,1,1,1
158,1,1,1
159,0,1,0
160,1,1,1
161,0,1,0
162,1,1,1
163,1,1,1
164,0,1,0
165,1,1,1
166,0,1,0
167,1,1,1
168,1,1,1
169,1,1,1
170,1,1,1
171,1,1,1
172,1,1,1
173,1,1,1
174,0,1,0
175,0,1,0
176,1,1,1
177,1,1,1
178,0,1,0
179,1,1,1
180,0,1,0
181,1,1,1
182,1,1,1
183,0,1,0
184,1,1,1
185,1,1,1
186,1,1,1
187,1,1,1
188,1,1,1
189,0,1,0
190,0,1,0
191,1,1,1
192,1,1,1
193,0,1,0
194,1,1,1
195,0,1,0
196,0,1,0
197,0,1,0
198,0,1,0
199,1,1,1
200,0,1,0
201,0,1,0
202,0,1,0
203,0,1,0
204,1,1,1
205,1,1,1
206,1,1,1
207,0,1,0
208,0,1,0
209,1,1,1
210,0,1,0
211,1,1,1
212,0,1,0
213,0,1,0
214,1,1,1
215,0,1,0
216,1,1,1
217,1,1,1
218,0,1,0
219,1,1,1
220,0,1,0
221,0,1,0
222,1,1,1
223,1,1,1
224,0,1,0
225,1,1,1
226,1,1,1
227,0,1,0
228,0,1,0
229,0,1,0
230,0,1,0
231,1,1,1
232,0,1,0
233,0,1,0
234,0,1,0
235,0,1,0
236,0,1,0
237,0,1,0
238,0,1,0
239,1,1,1
240,1,1,1
241,0,1,0
242,1,1,1
243,1,1,1
244,1,1,1
245,0,1,0
246,0,1,0
247,0,1,0
248,1,1,1
249,0,1,0
250,0,1,0
251,0,1,0
252,0,1,0
253,0,1,0
254,0,1,0
255,0,1,0
256,0,1,0
257,0,1,0
258,0,1,0
259,0,1,0
260,0,1,0
261,0,1,0
262,0,1,0
263,0,1,0
264,0,1,0
265,0,1,0
266,0,1,0
267,0,1,0
268,1,1,1
269,0,1,0
270,0,1,0
271,0,1,0
272,1,1,1
273,0,1,0
274,0,1,0
275,1,1,1
276,0,1,0
277,0,1,0
278,0,1,0
279,1,1,1
280,1,1,1
281,0,1,0
282,0,1,0
283,1,1,1
284,0,1,0
285,1,1,1
286,0,1,0
287,0,1,0
