language,problem_number,difficulty,suggestion,result,output,expected_output,message,accuracy
ja,099,A,0,1,"ABC
","ABC
",
ja,099,A,0,1,"ABD
","ABD
",
ja,099,A,0,1,"ABC
","ABC
",
ja,099,A,0,1,"ABC
","ABC
",
ja,099,A,0,1,"ABD
","ABD
",
ja,099,A,0,1,"ABD
","ABD
",
ja,099,A,0,1,"ABC
","ABC
",
ja,099,A,0,1,"ABD
","ABD
",
ja,099,A,0,1,"ABD
","ABD
",,1.0
ja,099,A,1,1,"ABC
","ABC
",
ja,099,A,1,1,"ABD
","ABD
",
ja,099,A,1,1,"ABC
","ABC
",
ja,099,A,1,1,"ABC
","ABC
",
ja,099,A,1,1,"ABD
","ABD
",
ja,099,A,1,1,"ABD
","ABD
",
ja,099,A,1,1,"ABC
","ABC
",
ja,099,A,1,1,"ABD
","ABD
",
ja,099,A,1,1,"ABD
","ABD
",,1.0
ja,099,A,2,1,"ABC
","ABC
",
ja,099,A,2,1,"ABD
","ABD
",
ja,099,A,2,1,"ABC
","ABC
",
ja,099,A,2,1,"ABC
","ABC
",
ja,099,A,2,1,"ABD
","ABD
",
ja,099,A,2,1,"ABD
","ABD
",
ja,099,A,2,1,"ABC
","ABC
",
ja,099,A,2,1,"ABD
","ABD
",
ja,099,A,2,1,"ABD
","ABD
",,1.0
ja,099,A,3,1,"ABC
","ABC
",
ja,099,A,3,1,"ABD
","ABD
",
ja,099,A,3,1,"ABC
","ABC
",
ja,099,A,3,1,"ABC
","ABC
",
ja,099,A,3,1,"ABD
","ABD
",
ja,099,A,3,1,"ABD
","ABD
",
ja,099,A,3,1,"ABC
","ABC
",
ja,099,A,3,1,"ABD
","ABD
",
ja,099,A,3,1,"ABD
","ABD
",,1.0
